red,node,node_id,node_type,label,grado,grado_ponderado,intermediacion,armonica,pagerank,componente,componente_tamano,comentarios,videos_comentados,canales_distintos,categorias_distintas,consultas_distintas,comentarios_por_video,diversidad_canales,entropia_participacion,es_recurrente
proyeccion_autores,author::UCh5ESQvtzyHDhCA7XyekCFA,UCh5ESQvtzyHDhCA7XyekCFA,author,@andyB5280,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,3,1,1,1,1,3.0,1.0,0.0,False
proyeccion_autores,author::UChZknRmJkeGeQk0-mQuhDOg,UChZknRmJkeGeQk0-mQuhDOg,author,@OdilioRodríguez-c5w,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UChep9kVb5gQmpodEEl10Xlg,UChep9kVb5gQmpodEEl10Xlg,author,@carlosaguilar-kz7ml,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UChgkn5Jt5tWKYMoEOuCjz3Q,UChgkn5Jt5tWKYMoEOuCjz3Q,author,@pablochitay46,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UChs3tU2BcKOT0CezykvAsGw,UChs3tU2BcKOT0CezykvAsGw,author,@byronpontaza,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,3,1,1,1,1,3.0,1.0,0.0,False
proyeccion_autores,author::UCi1b_TRQfgO1Z9O2gNGGWNA,UCi1b_TRQfgO1Z9O2gNGGWNA,author,@davidisraelesquitsaquil,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,2,1,1,1,1,2.0,1.0,0.0,False
proyeccion_autores,author::UCiGRBf2RNF0WRKhRVT7zFoA,UCiGRBf2RNF0WRKhRVT7zFoA,author,@edwinavila4876,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCiMythXHsw7eQEMykCdmMUA,UCiMythXHsw7eQEMykCdmMUA,author,@JavierBecerra-h6x,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCipetjeiWj4CZB6EbyYziZg,UCipetjeiWj4CZB6EbyYziZg,author,@OseasSamayoa-ol5rz,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCj-LL25XJnjxepPKCc3NGog,UCj-LL25XJnjxepPKCc3NGog,author,@anaaguirre8985,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
