node,node_id,node_type,bipartite,label,channel_id,channel_name,category,view_count,comments_total,author_handle,videos_count
video::IZLflL4Hgco,IZLflL4Hgco,video,1,El ciudadano Toriello da un paso al frente,UCGSQ821fpPy-yXL9mUmKbBg,TanGente Podcast,Entertainment,28013.0,0,,
video::IcF9rRdAtp8,IcF9rRdAtp8,video,1,Ministro de Comunicaciones Alejandro Sinibaldi realiza supervisión en la Ruta CA-1 Occidente,UCiQAWoQNcuKIAvCCFQC54UQ,Ministerio de Comunicaciones Infraestructura y Vivienda,People & Blogs,211.0,0,,
video::J6ctng-yAnI,J6ctng-yAnI,video,1,CIV PROVIAL GRADUACIÓN XV PROMOCIÓN BRIGADAS 140619,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,2981.0,0,,
video::JErfmk-TlRg,JErfmk-TlRg,video,1,Rendición de Cuentas - Primer Cuatrimestre 2023,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,32.0,0,,
video::J_HBzJUTOus,J_HBzJUTOus,video,1,Presentan estrategia nacional para prevenir violencia durante recorridos de antorchas,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,News & Politics,17.0,0,,
video::JdxHJkQjM50,JdxHJkQjM50,video,1,🚡 ¿Cómo va avanzando #AeroMetroGT?,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,20901.0,0,,
video::JgmCtBQWNL8,JgmCtBQWNL8,video,1,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,1165.0,0,,
video::JkpVO1hx2f8,JkpVO1hx2f8,video,1,10 Preguntas a un año del Paro Nacional,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,673.0,3,,
video::Jr1hJ92H_Nc,Jr1hJ92H_Nc,video,1,"#SinMáscaras | GUERRA SUCIA PERO SUCIA EN SERIO LLEGA A TV AZTECA CON AMPARO, CAMIN Y CASTAÑEDA",UCH4M_4Ed6SUidQthmZ60M2g,Manuel Pedrero,News & Politics,62941.0,0,,
video::K1IA6oTGws8,K1IA6oTGws8,video,1,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,News & Politics,530.0,0,,
video::K2qWcueeMOc,K2qWcueeMOc,video,1,#EnvivoDCA | Conferencia de prensa de Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,News & Politics,802.0,0,,
video::K50uijsHnAM,K50uijsHnAM,video,1,Informe desde Ciudad de Guatemala: crisis de seguridad tras ataques contra la Policía,UCUdOoVWuWmgo1wByzcsyKDQ,FRANCE 24 Español,News & Politics,135249.0,0,,
video::KIO6wIJXYY0,KIO6wIJXYY0,video,1,"Se tiene que cambiar el sistema electoral en Guatemala, asegura exfiscal",UC_lEiu6917IJz03TnntWUaQ,CNN en Español,News & Politics,16830.0,0,,
video::KWCyMd4dxkY,KWCyMd4dxkY,video,1,Recorrido de los 21K BAM de la Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,13077.0,0,,
video::KkNQhX_kg8A,KkNQhX_kg8A,video,1,🇬🇹HISTORIA de GUATEMALA en 17 minutos🇬🇹 - El Mapa de Sebas,UCVbOEcs6RMxXXX3WWNtl_Fw,El Mapa de Sebas,Education,749356.0,0,,
video::LRzZy8xBrjA,LRzZy8xBrjA,video,1,Conferencia de prensa ante el incremento de los combustibles.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,670.0,0,,
video::LeN6wpNIB-4,LeN6wpNIB-4,video,1,GUATEMALA RECIBE 135 NICARAGUENESES LIBERADOS POR ORTEGA,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,People & Blogs,28.0,0,,
video::LqY_vAsa4PY,LqY_vAsa4PY,video,1,“Guatemala: Una historia escrita con corrupción”,UCBQ9OCZNvmC--OH_e-qGGiA,PFNSE MEDIA,News & Politics,2291.0,0,,
video::MMECHN8SFNw,MMECHN8SFNw,video,1,"Noticiero en Directo 1 pm, 27 de Agosto de 2026",UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,News & Politics,4838.0,0,,
video::MRJ9mKnXR9M,MRJ9mKnXR9M,video,1,Labor de la PMT es honesta aseguran vecinos,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,People & Blogs,1075.0,0,,
video::MdIa2Dtj77I,MdIa2Dtj77I,video,1,"Consejos para tu viaje a Guatemala: hospedaje, telefonía, transporte y más!   ✈️ 🇬🇹",UCZyaNecz9ugVReNcNfXXurA,Aventuras de una programadora,People & Blogs,134775.0,0,,
video::Mh94uXZvCLo,Mh94uXZvCLo,video,1,DE LOS BOTS AL RECHAZO: CERIMEDO Y LA “GUERRILLA DE LAS REDES” | CAPÍTULO 3 DE 8,UCBDxkiJk5id4TIOa1FotGUA,La  Coma,News & Politics,21.0,0,,
video::Mme4XikKnlc,Mme4XikKnlc,video,1,Municipalidad anuncia 111 nuevos autobuses y 17 rutas para mejorar el transporte en la capital,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,3146.0,0,,
