red,node,node_id,node_type,label,grado,grado_ponderado,intermediacion,armonica,pagerank,componente,componente_tamano,channel_name,category,comentarios,autores_unicos,autores_compartidos,proporcion_audiencia_compartida,videos_conectados,canales_conectados,categorias_conectadas,view_count
proyeccion_videos,video::Boj5GILjbI0,Boj5GILjbI0,video,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 2",0,0.0,0.0,0.0,0.0028620758795720952,69,1,CIV -Ministerio de Comunicaciones,People & Blogs,0,0,0,0.0,0,0,0,26
proyeccion_videos,video::Bp4LtQT8Hk0,Bp4LtQT8Hk0,video,"Ciudad de Guatemala, el mejor lugar para vivir",0,0.0,0.0,0.0,0.0028620758795720952,70,1,Municipalidad de Guatemala,Entertainment,0,0,0,0.0,0,0,0,4265
proyeccion_videos,video::C5hJmAhpMMQ,C5hJmAhpMMQ,video,"YOUTUBE PUNTO DE ENFOQUE MARIO MEJÍA, SUBDIRECTOR DE INSIVUMEH",0,0.0,0.0,0.0,0.0028620758795720952,71,1,INSIVUMEH,Science & Technology,0,0,0,0.0,0,0,0,79
proyeccion_videos,video::C8wk4HWwWyM,C8wk4HWwWyM,video,Duro golpe al crimen organizado en Granja Penal de Pavón.,0,0.0,0.0,0.0,0.0028620758795720952,72,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,2214
proyeccion_videos,video::CDg6kLRfiqQ,CDg6kLRfiqQ,video,Acciones relevantes en el #Resumen24Horas,0,0.0,0.0,0.0,0.0028620758795720952,73,1,PNCdeGuatemala,Science & Technology,0,0,0,0.0,0,0,0,11048
proyeccion_videos,video::CJQ46Hr4HcU,CJQ46Hr4HcU,video,Municipalidad de Guatemala  19/12/2025,0,0.0,0.0,0.0,0.0028620758795720952,74,1,Concejales de Oposición - Muni Guate,People & Blogs,0,0,0,0.0,0,0,0,222
proyeccion_videos,video::D3fRGjqHeHI,D3fRGjqHeHI,video,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 1",0,0.0,0.0,0.0,0.0028620758795720952,75,1,CIV -Ministerio de Comunicaciones,People & Blogs,0,0,0,0.0,0,0,0,23
proyeccion_videos,video::D4CEpAfkkPI,D4CEpAfkkPI,video,Policías arremeten contra agente de PMT en zona 10,0,0.0,0.0,0.0,0.0028620758795720952,76,1,PrensaLibreOficial,News & Politics,0,0,0,0.0,0,0,0,79044
proyeccion_videos,video::DBvMeKT4gzo,DBvMeKT4gzo,video,La Familia MÁS RICA de GUATEMALA… Ni la Guerra les Quitó el Trono y Hoy son DUEÑOS de tu CERVEZA,0,0.0,0.0,0.0,0.0028620758795720952,77,1,Fortuna Latina,People & Blogs,0,0,0,0.0,0,0,0,58881
proyeccion_videos,video::DC1_qrLUvHI,DC1_qrLUvHI,video,Municipalidad de Guatemala 26/08/2026,0,0.0,0.0,0.0,0.0028620758795720952,78,1,Concejales de Oposición - Muni Guate,People & Blogs,0,0,0,0.0,0,0,0,49
proyeccion_videos,video::DMAKF8n0XJs,DMAKF8n0XJs,video,Guatemala TV • ID (2024-2026),0,0.0,0.0,0.0,0.0028620758795720952,79,1,Mdpls²,Film & Animation,0,0,0,0.0,0,0,0,367
proyeccion_videos,video::DX5eT-hVU8Q,DX5eT-hVU8Q,video,250 años Ciudad de Guatemala,0,0.0,0.0,0.0,0.0028620758795720952,80,1,Municipalidad de Guatemala,News & Politics,0,0,0,0.0,0,0,0,491
proyeccion_videos,video::DkxSkQipYwo,DkxSkQipYwo,video,PRESIDENTE BERNARDO ARÉVALO PARTICIPA EN EL ACTO CONMEMORATIVO DEL DÍA DEL EJÉRCITO,0,0.0,0.0,0.0,0.0028620758795720952,81,1,IDocumenta,News & Politics,0,0,0,0.0,0,0,0,66
proyeccion_videos,video::EGfy1BxGLIk,EGfy1BxGLIk,video,Colabore con las medidas de la PMT,0,0.0,0.0,0.0,0.0028620758795720952,82,1,Municipalidad de Guatemala,Education,0,0,0,0.0,0,0,0,1437
proyeccion_videos,video::ELhvo8YnYnI,ELhvo8YnYnI,video,Insivumeh prevé lluvias fuertes por dos ondas del este,0,0.0,0.0,0.0,0.0028620758795720952,83,1,TN23 Guatemala,News & Politics,0,0,0,0.0,0,0,0,5182
